
==== RANKING (800 - 320 detection gap, en iyi sunum demosu ustte) ====
 gap | det@320 | det@800 | image
  14 |       5 |      19 | 0282_jpg.rf.1IZBpZr9oqEAwo3QRALQ
  11 |       4 |      15 | 0125_jpg.rf.27niKGbp8hbSd4DllmEo
   8 |       4 |      12 | IMG_20260526_130559_jpg.rf.toCvc9FGbm1FydFkmjKP
   7 |       5 |      12 | IMG_20260526_130426_jpg.rf.060fCF3i9K8tavQW3UQe
   7 |       2 |       9 | 0087_jpg.rf.VbQnnnDVMfxstb64jImx
   6 |      25 |      31 | 0029_jpg.rf.KnUIYiQlr2DXXiNH4QFv
   6 |       0 |       6 | IMG_20260526_130316_jpg.rf.FLcCGLgbDW2DdbnGnLkV
   5 |       1 |       6 | IMG_20260526_115926_jpg.rf.m4l7QIFbv4sR56xawnSE
   4 |      15 |      19 | 0017_jpg.rf.eS2dguAPvlaA4vYIQo4a
   4 |       7 |      11 | 0138_jpg.rf.g4MIAmEIhMJ3NbUZmpQz
   4 |       1 |       5 | IMG_20260526_115307_jpg.rf.O2YSMYxAob7nVXEkiyOB
   4 |       0 |       4 | IMG_20260526_115637_jpg.rf.TTds1ORwJ3C92HNbvZTn
   3 |       5 |       8 | 0188_jpg.rf.9zBIQVpSBnMg9Qx65nEp
   3 |       3 |       6 | 0002_jpg.rf.gROrdj0E7hmDa4DUTDzv
   3 |       1 |       4 | IMG_20260526_115630_jpg.rf.77VzmLhL1Xx3dJlbdN6C
   3 |       1 |       4 | 0167_jpg.rf.79C2tSt0Pw56MTuSljuz
   2 |       6 |       8 | 0270_jpg.rf.9HHNbcNZboZ3gD4eY7N1
   2 |       2 |       4 | IMG_20260526_130225_jpg.rf.XF2tO9860kFeMpmx5MGV
   1 |      11 |      12 | 0203_jpg.rf.xqSp7rf8WvHWOnA36rOK
   1 |       6 |       7 | 0259_jpg.rf.ysJkjb9S6NzRK1jFt12m
   1 |       1 |       2 | IMG_20260526_115016_jpg.rf.YXc462AGrwMETdPS7VU0
   1 |       0 |       1 | 0041_jpg.rf.sFoFF9djuoEbpZs2kGPY
   0 |       6 |       6 | IMG_20260526_130752_jpg.rf.9gUvyw2fQhcDmBCJFoG2
   0 |       4 |       4 | 0177_jpg.rf.n32jHmDlLiL7HRvjXLMX
   0 |       3 |       3 | 0219_jpg.rf.ABXPeAgQGvfflKRxqLlI
   0 |       1 |       1 | 0296_jpg.rf.9YpwCtIhaT89ji1kbKWb
  -1 |       7 |       6 | IMG_20260526_115935_jpg.rf.weqiJQWEqBuGUaaPHu1S
  -1 |       7 |       6 | 0232_jpg.rf.XouV7Qca7NMuI5f17DB4
  -1 |       7 |       6 | 0068_jpg.rf.MfH0Q8vThecRRr0oSlVT
  -1 |       5 |       4 | IMG_20260526_130836_jpg.rf.ePAtCtrOHbXX2RQh6oTY
  -1 |       5 |       4 | IMG_20260526_130642_jpg.rf.UR4LoCi7X3i3Db9JrNvZ
  -1 |       4 |       3 | IMG_20260526_115324_jpg.rf.8HuQf8cn6tOoYvbYKgRy
  -1 |       3 |       2 | IMG_20260526_114718_jpg.rf.MSzUhEtM3EZg66hooRW6
  -1 |       2 |       1 | 0094_jpg.rf.sGKMTh5QddZHEU06GpZs
  -1 |       1 |       0 | IMG_20260526_115517_jpg.rf.1tOkar6vgQyjCRBN3fdO
  -1 |       1 |       0 | 0057_jpg.rf.0zrQ3yvgsJwOouuBARGR
  -2 |      11 |       9 | 0242_jpg.rf.QfnnqjE1dIImGKXrDQRE
  -4 |      14 |      10 | 0149_jpg.rf.rGufcDnPAXPxm6FsgoLs
  -4 |      12 |       8 | 0112_jpg.rf.25UDb4P4mK75buj5lx6n
  -5 |       5 |       0 | IMG_20260526_115032_jpg.rf.zEvIiMC9Ev0uebCIOlst

Composites -> C:\cekmece_yolov8_1\results\thesis_examples\compare
