t_ms,dt_ms,total_ms,pure_ms,fps,model_px
241,698,677.8,416.7,1.41,640
860,618,661.2,416.7,1.48,640
1465,604,648.1,416.7,1.53,640
2167,702,658.8,416.7,1.50,640
2709,541,631.7,416.7,1.60,640
3292,583,617.2,416.7,1.64,640
3908,615,609.3,416.7,1.63,640
4607,699,621.6,416.7,1.57,640
5206,599,614.7,416.7,1.60,640
5878,671,620.0,416.7,1.57,640
6404,526,598.8,416.7,1.67,640
6900,496,578.3,416.7,1.77,640
7424,524,561.5,416.7,1.81,640
7970,545,554.3,416.7,1.82,640
8545,574,552.7,416.7,1.80,640
9161,616,564.3,416.7,1.74,640
9761,600,565.1,416.7,1.72,640
10344,583,562.5,416.7,1.72,640
10845,500,549.2,416.7,1.80,640
11350,505,539.5,416.7,1.86,640
11856,505,531.6,416.7,1.89,640
12375,519,522.1,416.7,1.90,640
12894,518,516.3,416.7,1.91,640
13436,542,518.3,416.7,1.89,640
14222,785,568.1,416.7,1.71,640
14978,756,605.6,416.7,1.59,640
15658,680,620.5,416.7,1.56,640
16257,598,614.4,416.7,1.59,640
16919,661,621.2,416.7,1.57,640
17616,697,634.6,416.7,1.53,640
18182,565,619.7,416.7,1.60,640
18834,652,626.1,416.7,1.58,640
19418,583,610.5,416.7,1.62,640
19999,580,603.5,416.7,1.65,640
20637,638,603.6,416.7,1.63,640
21302,665,609.8,416.7,1.59,640
21984,681,618.8,416.7,1.55,640
22637,652,618.5,416.7,1.55,640
23187,550,597.7,416.7,1.63,640
23705,517,581.6,416.7,1.72,640
24227,522,564.9,416.7,1.78,640
24770,542,559.5,416.7,1.80,640
25305,535,552.6,416.7,1.82,640
25843,538,545.4,416.7,1.83,640
26378,535,542.3,416.7,1.84,640
26905,526,532.2,416.7,1.86,640
27445,539,527.3,416.7,1.86,640
27987,542,526.1,416.7,1.85,640
28541,554,529.9,416.7,1.84,640
29067,525,526.9,416.7,1.86,640
29614,546,526.8,416.7,1.85,640
30138,524,526.1,416.7,1.87,640
30673,535,526.8,416.7,1.87,640
31214,540,526.1,416.7,1.86,640
31748,534,522.1,416.7,1.87,640
32254,505,517.7,416.7,1.90,640
32811,557,518.4,416.7,1.87,640
33349,538,515.5,416.7,1.87,640
33846,496,510.7,416.7,1.91,640
34377,531,512.9,416.7,1.90,640
34934,556,516.5,416.7,1.87,640
35479,545,518.2,416.7,1.86,640
36045,565,522.7,416.7,1.83,640
36550,505,516.5,416.7,1.88,640
37093,542,519.8,416.7,1.87,640
37611,517,517.0,416.7,1.89,640
38102,491,510.8,416.7,1.93,640
38600,498,505.2,416.7,1.96,640
39139,539,507.8,416.7,1.93,640
39690,550,511.3,416.7,1.89,640
40195,505,505.1,416.7,1.92,640
40711,515,504.2,416.7,1.93,640
41223,512,502.9,416.7,1.93,640
41745,522,505.8,416.7,1.93,640
42259,514,502.6,416.7,1.93,640
42801,542,507.3,416.7,1.91,640
43361,559,513.4,416.7,1.87,640
