t_ms,dt_ms,total_ms,pure_ms,fps,model_px
112,197,194.9,173.2,4.95,320
302,189,193.7,173.2,5.05,320
501,199,193.4,173.2,5.04,320
686,185,191.7,173.2,5.15,320
856,169,187.1,173.2,5.38,320
1063,207,187.6,173.2,5.22,320
1253,190,185.6,173.2,5.23,320
1446,192,185.5,173.2,5.22,320
1642,196,185.6,173.2,5.19,320
1828,186,184.0,173.2,5.24,320
2017,188,184.8,173.2,5.27,320
2195,177,183.4,173.2,5.38,320
2411,216,185.5,173.2,5.16,320
2604,192,186.9,173.2,5.17,320
2807,203,188.4,173.2,5.10,320
2997,190,187.1,173.2,5.15,320
3181,183,186.3,173.2,5.24,320
3382,201,186.3,173.2,5.16,320
3550,167,182.4,173.2,5.41,320
3744,194,182.8,173.2,5.33,320
3930,186,182.2,173.2,5.35,320
4114,183,182.5,173.2,5.38,320
4303,188,182.0,173.2,5.36,320
4481,177,181.1,173.2,5.45,320
4666,185,180.5,173.2,5.44,320
4861,195,180.1,173.2,5.34,320
5047,185,179.7,173.2,5.36,320
5238,191,180.5,173.2,5.32,320
5418,179,180.3,173.2,5.40,320
5595,177,177.6,173.2,5.48,320
5810,215,180.6,173.2,5.23,320
5995,184,179.8,173.2,5.29,320
6211,216,182.3,173.2,5.09,320
6404,192,183.0,173.2,5.13,320
6585,181,181.1,173.2,5.25,320
6760,174,178.1,173.2,5.40,320
6963,203,179.4,173.2,5.26,320
7150,187,179.1,173.2,5.28,320
7343,192,180.4,173.2,5.26,320
7522,178,179.9,173.2,5.37,320
7696,174,177.2,173.2,5.48,320
7891,194,178.0,173.2,5.38,320
8065,174,175.4,173.2,5.49,320
8253,188,174.3,173.2,5.44,320
8461,207,176.9,173.2,5.26,320
8640,179,177.4,173.2,5.36,320
8821,180,177.9,173.2,5.42,320
9010,189,178.5,173.2,5.38,320
9195,185,178.4,173.2,5.39,320
9395,199,179.5,173.2,5.28,320
9573,178,179.2,173.2,5.38,320
9759,185,178.9,173.2,5.39,320
9937,178,176.3,173.2,5.46,320
10119,181,173.9,173.2,5.48,320
10313,193,174.3,173.2,5.39,320
10498,184,174.6,173.2,5.40,320
10682,184,175.0,173.2,5.41,320
10861,179,175.9,173.2,5.46,320
11053,191,177.4,173.2,5.40,320
11246,192,178.3,173.2,5.34,320
11436,190,179.4,173.2,5.32,320
11608,171,177.7,173.2,5.48,320
11818,210,179.5,173.2,5.26,320
11996,177,179.0,173.2,5.38,320
12167,170,177.3,173.2,5.53,320
12363,196,177.3,173.2,5.40,320
12550,186,177.5,173.2,5.39,320
12745,195,179.1,173.2,5.31,320
12933,187,179.2,173.2,5.32,320
13108,174,178.3,173.2,5.45,320
13306,197,179.8,173.2,5.34,320
13484,178,179.5,173.2,5.42,320
13658,174,176.5,173.2,5.52,320
13852,193,177.2,173.2,5.42,320
14040,188,177.4,173.2,5.39,320
14231,190,179.9,173.2,5.35,320
14428,196,181.9,173.2,5.28,320
14617,189,181.3,173.2,5.28,320
14814,197,183.1,173.2,5.22,320
14991,176,181.8,173.2,5.36,320
15180,188,181.1,173.2,5.35,320
